playerId,baseballReferenceId,franchiseId,season,battingWar,opsPlus,pitchingWar,eraPlus,sourceLabel,battingSourceUrl,pitchingSourceUrl,verifiedAt
werthde01,werthde01,nyy,1980,0.7,151,,,Baseball-Reference daily WAR data,https://www.baseball-reference.com/data/war_daily_bat.txt,https://www.baseball-reference.com/data/war_daily_pitch.txt,2026-07-14
birddo01,birddo01,nyy,1981,,,0.8,133,Baseball-Reference daily WAR data,https://www.baseball-reference.com/data/war_daily_bat.txt,https://www.baseball-reference.com/data/war_daily_pitch.txt,2026-07-14
brownbo04,brownbo04,nyy,1981,0,53,,,Baseball-Reference daily WAR data,https://www.baseball-reference.com/data/war_daily_bat.txt,https://www.baseball-reference.com/data/war_daily_pitch.txt,2026-07-14
castrbi01,castrbi01,nyy,1981,,,-0.4,96,Baseball-Reference daily WAR data,https://www.baseball-reference.com/data/war_daily_bat.txt,https://www.baseball-reference.com/data/war_daily_pitch.txt,2026-07-14
ceronri01,ceronri01,nyy,1981,-0.1,79,,,Baseball-Reference daily WAR data,https://www.baseball-reference.com/data/war_daily_bat.txt,https://www.baseball-reference.com/data/war_daily_pitch.txt,2026-07-14
davisro02,davisro02,nyy,1981,,,1.6,132,Baseball-Reference daily WAR data,https://www.baseball-reference.com/data/war_daily_bat.txt,https://www.baseball-reference.com/data/war_daily_pitch.txt,2026-07-14
dentbu01,dentbu01,nyy,1981,1.7,97,,,Baseball-Reference daily WAR data,https://www.baseball-reference.com/data/war_daily_bat.txt,https://www.baseball-reference.com/data/war_daily_pitch.txt,2026-07-14
footeba01,footeba01,nyy,1981,0.2,84,,,Baseball-Reference daily WAR data,https://www.baseball-reference.com/data/war_daily_bat.txt,https://www.baseball-reference.com/data/war_daily_pitch.txt,2026-07-14
frazige01,frazige01,nyy,1981,,,0.7,222,Baseball-Reference daily WAR data,https://www.baseball-reference.com/data/war_daily_bat.txt,https://www.baseball-reference.com/data/war_daily_pitch.txt,2026-07-14
gamblos01,gamblos01,nyy,1981,1.3,131,,,Baseball-Reference daily WAR data,https://www.baseball-reference.com/data/war_daily_bat.txt,https://www.baseball-reference.com/data/war_daily_pitch.txt,2026-07-14
gossari01,gossari01,nyy,1981,,,2.3,465,Baseball-Reference daily WAR data,https://www.baseball-reference.com/data/war_daily_bat.txt,https://www.baseball-reference.com/data/war_daily_pitch.txt,2026-07-14
guidrro01,guidrro01,nyy,1981,,,3.1,129,Baseball-Reference daily WAR data,https://www.baseball-reference.com/data/war_daily_bat.txt,https://www.baseball-reference.com/data/war_daily_pitch.txt,2026-07-14
jacksre01,jacksre01,nyy,1981,0.9,120,,,Baseball-Reference daily WAR data,https://www.baseball-reference.com/data/war_daily_bat.txt,https://www.baseball-reference.com/data/war_daily_pitch.txt,2026-07-14
johnto01,johnto01,nyy,1981,,,2.5,136,Baseball-Reference daily WAR data,https://www.baseball-reference.com/data/war_daily_bat.txt,https://www.baseball-reference.com/data/war_daily_pitch.txt,2026-07-14
larocda01,larocda01,nyy,1981,,,0.7,144,Baseball-Reference daily WAR data,https://www.baseball-reference.com/data/war_daily_bat.txt,https://www.baseball-reference.com/data/war_daily_pitch.txt,2026-07-14
mayru01,mayru01,nyy,1981,,,0.4,86,Baseball-Reference daily WAR data,https://www.baseball-reference.com/data/war_daily_bat.txt,https://www.baseball-reference.com/data/war_daily_pitch.txt,2026-07-14
milbola01,milbola01,nyy,1981,1.2,118,,,Baseball-Reference daily WAR data,https://www.baseball-reference.com/data/war_daily_bat.txt,https://www.baseball-reference.com/data/war_daily_pitch.txt,2026-07-14
